game_id,season,type,date_time,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz
2013020935,20132014,R,06-03-14,2014-03-06T01:00:00Z,15,4,4,6,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021043,20132014,R,20-03-14,2014-03-20T23:00:00Z,25,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020684,20122013,R,23-04-13,2013-04-23T23:30:00Z,6,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020749,20132014,R,22-01-14,2014-01-22T23:00:00Z,12,4,3,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020474,20132014,R,13-12-13,2013-12-13T00:00:00Z,8,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020156,20122013,R,09-02-13,2013-02-09T18:00:00Z,12,4,3,4,home win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020904,20132014,R,01-03-14,2014-03-01T18:00:00Z,3,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020889,20132014,R,28-02-14,2014-02-28T00:00:00Z,28,4,7,3,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020515,20132014,R,18-12-13,2013-12-18T00:30:00Z,15,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021222,20132014,R,13-04-14,2014-04-13T19:00:00Z,12,4,6,5,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021121,20132014,R,30-03-14,2014-03-30T16:30:00Z,6,4,4,3,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020560,20132014,R,24-12-13,2013-12-24T00:30:00Z,30,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020302,20122013,R,02-03-13,2013-03-02T17:00:00Z,9,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021145,20132014,R,03-04-14,2014-04-03T23:00:00Z,29,4,2,0,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021074,20132014,R,24-03-14,2014-03-24T23:00:00Z,26,4,3,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
