gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
57978,201104050BOS,NBA,1,2011,05-04-11,78,0,PHI,Sixers,82,1574.0553,1566.4014,47.537304,BOS,Celtics,99,1626.8951,1634.5491,A,L,0.29321575,NULL
57583,201102060NYK,NBA,1,2011,06-02-11,50,0,PHI,Sixers,103,1515.4135,1505.8446,41.241428,NYK,Knicks,117,1490.0569,1499.6257,A,L,0.39420223,NULL
57764,201103060PHI,NBA,0,2011,06-03-11,62,0,PHI,Sixers,125,1566.9015,1570.0134,47.90601,GSW,Warriors,117,1430.2002,1427.0883,H,W,0.79617578,NULL
57999,201104060PHI,NBA,0,2011,06-04-11,79,0,PHI,Sixers,92,1566.4014,1554.1973,46.283863,NYK,Knicks,97,1484.1133,1496.3174,H,L,0.74064708,NULL
57360,201101070PHI,NBA,0,2011,07-01-11,36,0,PHI,Sixers,105,1479.8918,1487.6423,39.333015,CHI,Bulls,99,1580.5176,1572.7671,H,W,0.49909949,NULL
57367,201101080DET,NBA,1,2011,08-01-11,37,0,PHI,Sixers,109,1487.6423,1482.1699,38.760296,DET,Pistons,112,1393.4166,1398.889,A,L,0.49169087,NULL
57592,201102080ATL,NBA,1,2011,08-02-11,51,0,PHI,Sixers,117,1505.8446,1545.6937,45.404366,ATL,Hawks,83,1571.2325,1531.3834,A,W,0.27847284,NULL
57775,201103080IND,NBA,1,2011,08-03-11,63,0,PHI,Sixers,110,1570.0134,1580.239,48.943386,IND,Pacers,100,1466.0188,1455.7932,A,W,0.50574851,NULL
58014,201104080PHI,NBA,0,2011,08-04-11,80,0,PHI,Sixers,98,1554.1973,1555.4669,46.414776,TOR,Raptors,93,1300.8975,1299.6278,H,W,0.88429606,NULL
57604,201102090PHI,NBA,0,2011,09-02-11,52,0,PHI,Sixers,95,1545.6937,1539.2125,44.731224,ORL,Magic,99,1638.9899,1645.4711,H,L,0.50964642,NULL
