GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Postseason,Season
45,20-04-13,@,Carolina Hurricanes,5,3,W,,20,22,3,W 1,0,2012
46,23-04-13,,Boston Bruins,5,2,W,,21,22,3,W 2,0,2012
47,25-04-13,,New York Islanders,2,1,W,,22,22,3,W 3,0,2012
48,27-04-13,@,Ottawa Senators,2,1,W,,23,22,3,W 4,0,2012
1,02-10-13,,Toronto Maple Leafs,1,3,L,,0,1,0,L 1,0,2013
2,05-10-13,@,Montreal Canadiens,1,4,L,,0,2,0,L 2,0,2013
3,06-10-13,@,Carolina Hurricanes,1,2,L,,0,3,0,L 3,0,2013
4,08-10-13,,Florida Panthers,2,1,W,,1,3,0,W 1,0,2013
5,11-10-13,,Phoenix Coyotes,1,2,L,,1,4,0,L 1,0,2013
6,12-10-13,@,Detroit Red Wings,2,5,L,,1,5,0,L 2,0,2013
7,15-10-13,,Vancouver Canucks,2,3,L,,1,6,0,L 3,0,2013
8,17-10-13,,Pittsburgh Penguins,1,4,L,,1,7,0,L 4,0,2013
9,24-10-13,,New York Rangers,2,1,W,,2,7,0,W 1,0,2013
10,26-10-13,@,New York Islanders,5,2,W,,3,7,0,W 2,0,2013
11,29-10-13,,Anaheim Ducks,2,3,L,,3,8,0,L 1,0,2013
12,01-11-13,,Washington Capitals,0,7,L,,3,9,0,L 2,0,2013
13,02-11-13,@,New Jersey Devils,1,0,W,,4,9,0,W 1,0,2013
14,05-11-13,@,Carolina Hurricanes,1,2,L,OT,4,9,1,L 1,0,2013
15,07-11-13,,New Jersey Devils,0,3,L,,4,10,1,L 2,0,2013
16,09-11-13,,Edmonton Oilers,4,2,W,,5,10,1,W 1,0,2013
17,12-11-13,@,Ottawa Senators,5,0,W,,6,10,1,W 2,0,2013
18,13-11-13,@,Pittsburgh Penguins,2,1,W,,7,10,1,W 3,0,2013
19,15-11-13,@,Winnipeg Jets,2,3,L,SO,7,10,2,L 1,0,2013
20,19-11-13,,Ottawa Senators,5,2,W,,8,10,2,W 1,0,2013
21,21-11-13,,Buffalo Sabres,4,1,W,,9,10,2,W 2,0,2013
22,23-11-13,,New York Islanders,5,2,W,,10,10,2,W 3,0,2013
23,25-11-13,@,Florida Panthers,1,3,L,,10,11,2,L 1,0,2013
24,27-11-13,@,Tampa Bay Lightning,2,4,L,,10,12,2,L 2,0,2013
25,29-11-13,,Winnipeg Jets,2,1,W,,11,12,2,W 1,0,2013
26,30-11-13,@,Nashville Predators,3,2,W,SO,12,12,2,W 2,0,2013
27,02-12-13,@,Minnesota Wild,0,2,L,,12,13,2,L 1,0,2013
28,04-12-13,@,Detroit Red Wings,6,3,W,,13,13,2,W 1,0,2013
29,07-12-13,@,Dallas Stars,1,5,L,,13,14,2,L 1,0,2013
30,09-12-13,@,Ottawa Senators,4,5,L,SO,13,14,3,L 2,0,2013
31,11-12-13,@,Chicago Blackhawks,2,7,L,,13,15,3,L 3,0,2013
32,12-12-13,,Montreal Canadiens,2,1,W,,14,15,3,W 1,0,2013
33,15-12-13,@,Washington Capitals,4,5,L,SO,14,15,4,L 1,0,2013
34,17-12-13,,Washington Capitals,5,2,W,,15,15,4,W 1,0,2013
35,19-12-13,,Columbus Blue Jackets,5,4,W,,16,15,4,W 2,0,2013
36,21-12-13,@,Columbus Blue Jackets,3,6,L,,16,16,4,L 1,0,2013
37,23-12-13,,Minnesota Wild,4,1,W,,17,16,4,W 1,0,2013
38,28-12-13,@,Edmonton Oilers,4,3,W,SO,18,16,4,W 2,0,2013
39,30-12-13,@,Vancouver Canucks,4,3,W,SO,19,16,4,W 3,0,2013
40,31-12-13,@,Calgary Flames,4,1,W,,20,16,4,W 4,0,2013
41,02-01-14,@,Colorado Avalanche,1,2,L,,20,17,4,L 1,0,2013
42,04-01-14,@,Phoenix Coyotes,5,3,W,,21,17,4,W 1,0,2013
43,07-01-14,@,New Jersey Devils,3,2,W,OT,22,17,4,W 2,0,2013
44,08-01-14,,Montreal Canadiens,3,1,W,,23,17,4,W 3,0,2013
45,11-01-14,,Tampa Bay Lightning,3,6,L,,23,18,4,L 1,0,2013
46,12-01-14,@,New York Rangers,1,4,L,,23,19,4,L 2,0,2013
47,14-01-14,@,Buffalo Sabres,4,3,W,,24,19,4,W 1,0,2013
48,16-01-14,,Nashville Predators,3,4,L,SO,24,19,5,L 1,0,2013
49,18-01-14,,New York Islanders,6,4,W,,25,19,5,W 1,0,2013
50,20-01-14,@,New York Islanders,3,4,L,SO,25,19,6,L 1,0,2013
51,21-01-14,,Carolina Hurricanes,,,,,,,,,0,2013
52,22-01-14,,Carolina Hurricanes,2,3,L,,25,20,6,L 1,0,2013
53,23-01-14,@,Columbus Blue Jackets,2,5,L,,25,21,6,L 2,0,2013
54,25-01-14,,Boston Bruins,1,6,L,,25,22,6,L 3,0,2013
55,28-01-14,,Detroit Red Wings,5,0,W,,26,22,6,W 1,0,2013
56,30-01-14,@,Anaheim Ducks,3,5,L,,26,23,6,L 1,0,2013
57,01-02-14,@,Los Angeles Kings,2,0,W,,27,23,6,W 1,0,2013
58,03-02-14,@,San Jose Sharks,5,2,W,,28,23,6,W 2,0,2013
59,06-02-14,,Colorado Avalanche,3,1,W,,29,23,6,W 3,0,2013
60,08-02-14,,Calgary Flames,2,1,W,,30,23,6,W 4,0,2013
61,27-02-14,,San Jose Sharks,3,7,L,,30,24,6,L 1,0,2013
62,01-03-14,,New York Rangers,4,2,W,,31,24,6,W 1,0,2013
63,02-03-14,@,Washington Capitals,5,4,W,OT,32,24,6,W 2,0,2013
64,05-03-14,,Washington Capitals,6,4,W,,33,24,6,W 3,0,2013
65,08-03-14,@,Toronto Maple Leafs,3,4,L,OT,33,24,7,L 1,0,2013
66,11-03-14,,New Jersey Devils,1,2,L,,33,25,7,L 2,0,2013
67,15-03-14,,Pittsburgh Penguins,4,0,W,,34,25,7,W 1,0,2013
68,16-03-14,@,Pittsburgh Penguins,4,3,W,,35,25,7,W 2,0,2013
69,18-03-14,,Chicago Blackhawks,3,2,W,OT,36,25,7,W 3,0,2013
70,20-03-14,,Dallas Stars,4,2,W,,37,25,7,W 4,0,2013
71,22-03-14,,St. Louis Blues,4,1,W,,38,25,7,W 5,0,2013
72,24-03-14,,Los Angeles Kings,2,3,L,,38,26,7,L 1,0,2013
73,26-03-14,@,New York Rangers,1,3,L,,38,27,7,L 2,0,2013
74,28-03-14,,Toronto Maple Leafs,4,2,W,,39,27,7,W 1,0,2013
75,30-03-14,,Boston Bruins,3,4,L,SO,39,27,8,L 1,0,2013
76,01-04-14,@,St. Louis Blues,0,1,L,SO,39,27,9,L 2,0,2013
77,03-04-14,,Columbus Blue Jackets,0,2,L,,39,28,9,L 3,0,2013
78,05-04-14,@,Boston Bruins,2,5,L,,39,29,9,L 4,0,2013
79,06-04-14,,Buffalo Sabres,5,2,W,,40,29,9,W 1,0,2013
80,08-04-14,@,Florida Panthers,5,2,W,,41,29,9,W 2,0,2013
81,10-04-14,@,Tampa Bay Lightning,2,4,L,,41,30,9,L 1,0,2013
82,12-04-14,@,Pittsburgh Penguins,4,3,W,OT,42,30,9,W 1,0,2013
83,13-04-14,,Carolina Hurricanes,5,6,L,SO,42,30,10,L 1,0,2013
1,17-04-14,@,New York Rangers,1,4,L,,0,1,L 1,,1,2013
2,20-04-14,@,New York Rangers,4,2,W,,1,1,W 1,,1,2013
3,22-04-14,,New York Rangers,1,4,L,,1,2,L 1,,1,2013
4,25-04-14,,New York Rangers,2,1,W,,2,2,W 1,,1,2013
5,27-04-14,@,New York Rangers,2,4,L,,2,3,L 1,,1,2013
6,29-04-14,,New York Rangers,5,2,W,,3,3,W 1,,1,2013
7,30-04-14,@,New York Rangers,1,2,L,,3,4,L 1,,1,2013
