DIST,DC_KEY,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,INSIDE,OUTSIDE,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION,SHAPE,Police Districts
02,201602017719,0411,03/27/2016 12:00:00 AM,04:16 pm,B,F,0,48,neck,0,-1,0,N,N,N,1400 Block of Ladner St,POINT (-75.080156 40.035845),2
03,201603001446,0411,01/08/2016 12:00:00 AM,03:35 pm,B,M,0,18,foot,0,-1,0,N,N,N,500 Block of McClellan St.,POINT (-75.15441 39.925651),3
03,201603009791,0411,02/22/2016 12:00:00 AM,21:23 pm,B,M,0,16,foot,0,-1,0,N,N,N,2000 Block of S 7th St,POINT (-75.158138 39.922907),3
35,201535071631,0411,08/19/2015 12:00:00 AM,04:30 pm,M,B,0,18,multi,0,-1,0,N,N,N,100 Block of W Roselyn St,POINT (-75.1222 40.04226),20
35,201535074029,0411,08/26/2015 12:00:00 AM,13:30 pm,B,M,0,31,hand,0,-1,0,N,N,N,1000 Block of W. Olney Ave.,POINT (-75.139286 40.037805),20
35,201535073306,0300,08/23/2015 12:00:00 AM,22:56 pm,B,M,0,49,head,0,-1,0,N,N,N,4500 Block of Carlisle St.,POINT (-75.149466 40.021761),20
35,201535075306,0411,08/29/2015 12:00:00 AM,09:50 pm,B,M,0,23,back,0,-1,0,N,N,N,4800 Block of N. Warnick St.,POINT (-75.141467 40.025419),20
35,201535074315,0411,08/26/2015 12:00:00 AM,23:50 pm,B,M,0,17,leg,0,-1,0,N,N,N,5100 Block of N. 4th St.,POINT (-75.130371 40.02859),20
35,201535075915,0411,08/31/2015 12:00:00 AM,09:32 pm,B,M,0,25,multi,0,-1,0,N,N,N,2000 Block of W. Spencer St.,POINT (-75.155007 40.0473),20
35,201535076177,0411,09/19/2015 12:00:00 AM,02:06 am,B,M,0,62,leg,0,-1,0,N,N,N,3600 Block of N. Gratz St.,POINT (-75.158774 40.00862),21
35,201535076246,0411,09/01/2015 12:00:00 AM,07:15 pm,B,M,0,24,foot,0,-1,0,N,N,N,4500 Block of N 18TH ST,POINT (-75.154974 40.022343),20
35,201535078328,0411,09/08/2015 12:00:00 AM,00:24 am,B,F,0,27,multi,0,-1,0,N,N,N,5500 Block of N. 5th St.,POINT (-75.130477 40.036389),20
35,201535078329,0411,09/08/2015 12:00:00 AM,00:24 am,B,M,0,23,chest,0,-1,0,N,N,N,5500 Block of N. 5th St.,POINT (-75.130477 40.036389),20
35,201535081654,0411,09/18/2015 12:00:00 AM,01:02 am,B,M,0,19,multi,0,-1,0,N,N,N,4500 Block of Gratz St.,POINT (-75.155757 40.022453),20
35,201535081674,0411,09/18/2015 12:00:00 AM,01:02 am,B,M,0,21,multi,0,-1,0,N,N,N,4500 Block of Gratz St.,POINT (-75.155757 40.022453),20
35,201535082396,0411,09/20/2015 12:00:00 AM,03:23 am,B,M,0,24,multi,0,-1,0,N,N,N,1500 Block of Wingohocking St.,POINT (-75.150866 40.021819),20
35,201535082763,0111,09/21/2015 12:00:00 AM,04:10 pm,B,M,0,21,multi,0,-1,-1,N,N,N,5900 Block of N. 17TH St.,POINT (-75.148728 40.043561),20
35,201535084687,0411,09/28/2015 12:00:00 AM,23:10 pm,B,M,0,19,leg,0,-1,0,N,N,N,400 Block of W. Wellens St.,POINT (-75.131099 40.031251),20
35,201535085226,0411,09/30/2015 12:00:00 AM,19:45 pm,B,M,0,22,multi,0,-1,0,N,N,N,2000 Block of Medary Ave.,POINT (-75.153552 40.050401),20
35,201535085568,0407,10/01/2015 12:00:00 AM,23:38 pm,B,M,0,47,head-m,-1,0,0,N,N,N,200 Block of Rubicam St.,POINT (-75.128667 40.029411),20
35,201535086633,0111,10/06/2015 12:00:00 AM,02:53 am,B,M,0,22,chest,0,-1,-1,N,N,N,1300 Block of W. Wingohocking St,POINT (-75.14641 40.021174),20
35,201535086705,0411,10/06/2015 12:00:00 AM,11:37 pm,B,M,0,27,arm,0,-1,0,N,N,N,2000 Block of W. Champlost Ave.,POINT (-75.1542 40.045858),20
35,201535088536,0300,10/11/2015 12:00:00 AM,21:35 pm,B,M,0,17,leg,0,-1,0,N,N,N,1800 Block of Conlyn St.,POINT (-75.150457 40.042912),20
35,201535088823,0411,10/12/2015 12:00:00 AM,21:20 pm,B,M,0,47,arm,0,-1,0,N,N,N,2100 Block of Laveer St.,POINT (-75.155532 40.049532),20
35,201535088879,0411,10/13/2015 12:00:00 AM,00:25 am,B,M,0,28,leg,0,-1,0,N,N,N,5900 Block of N. 12th St.,POINT (-75.140124 40.042665),20
35,201535089475,0411,10/14/2015 12:00:00 AM,16:50 pm,B,M,0,23,buttock,0,-1,0,N,N,N,300 Block of W. Nedro Ave.,POINT (-75.127548 40.040768),20
35,201535089632,0411,10/15/2015 12:00:00 AM,00:15 am,B,M,0,18,multi,0,-1,0,N,N,N,2100 Block of W. Chelten Ave.,POINT (-75.155383 40.051809),20
35,201535090624,0411,10/17/2015 12:00:00 AM,22:00 pm,B,M,0,17,back,0,-1,0,N,N,N,1800 Block of Medary Ave.,POINT (-75.149291 40.049961),20
35,201535090299,0411,10/16/2015 12:00:00 AM,21:20 pm,B,F,0,18,head,0,-1,0,N,N,N,1700 Block of W. Lindley Ave.,POINT (-75.151397 40.031219),20
35,201535090635,0411,10/17/2015 12:00:00 AM,22:00 pm,B,M,0,23,leg,0,-1,0,N,N,N,1800 Block of Medary Ave.,POINT (-75.149291 40.049961),20
35,201535090650,0111,10/17/2015 12:00:00 AM,23:19 pm,B,M,0,30,head-m,0,-1,-1,N,N,N,5100 Block of Camac St.,POINT (-75.143648 40.030179),20
35,201535091299,0111,10/20/2015 12:00:00 AM,02:37 am,B,M,0,28,head,0,-1,-1,N,N,N,6700 Block of N. 11th St.,POINT (-75.136177 40.055088),20
35,201535092046,0411,10/22/2015 12:00:00 AM,09:57 am,B,M,0,33,chest,0,-1,0,N,N,N,2100 Block of Medary Ave.,POINT (-75.155477 40.050476),20
35,201535095602,0111,11/01/2015 12:00:00 AM,19:25 pm,B,M,0,41,head,-1,0,-1,N,N,N,5200 Block of N. 10th St.,POINT (-75.139053 40.032745),20
35,201535092635,0300,10/23/2015 12:00:00 AM,22:06 pm,B,M,-1,21,arm,0,-1,0,N,N,N,5900 Block of 10th St.,POINT (-75.137009 40.042075),20
35,201535098848,0411,11/11/2015 12:00:00 AM,09:28 am,B,M,0,28,leg,0,-1,0,N,N,N,4900 Block of N. Warnock St.,POINT (-75.140953 40.027234),20
35,201535097632,3006,11/07/2015 12:00:00 AM,14:40 pm,B,M,0,20,multi,-1,0,0,N,N,N,500 Block of E. Clarkson St.,POINT (-75.114382 40.032789),20
35,201535099203,0411,11/12/2015 12:00:00 AM,14:25 pm,B,M,0,30,back,0,-1,0,N,N,N,6700 Block of Ogontz Ave.,POINT (-75.149289 40.057157),20
35,201535099395,0411,11/13/2015 12:00:00 AM,01:52 am,B,M,0,24,multi,0,-1,0,N,N,N,5200 Block of N. 5th St.,POINT (-75.131878 40.03036),20
35,201535102182,0411,11/22/2015 12:00:00 AM,03:55 am,B,M,0,43,chest,0,-1,0,N,N,N,1200 Block of Lindley Ave.,POINT (-75.142836 40.030069),20
35,201535109898,0411,12/17/2015 12:00:00 AM,20:00 pm,B,M,0,32,back,0,-1,0,N,N,N,1000 Block of W. Louden St.,POINT (-75.140673 40.025233),20
35,201535109899,0411,12/17/2015 12:00:00 AM,20:00 pm,B,M,0,29,multi,0,-1,0,N,N,N,1000 Block of W. Louden St.,POINT (-75.140673 40.025233),20
35,201535099396,0411,11/13/2015 12:00:00 AM,01:52 am,B,M,0,25,abdomen,0,-1,0,N,N,N,5200 Block of N. 5th St.,POINT (-75.131878 40.03036),20
35,201535102649,0411,11/23/2015 12:00:00 AM,19:30 pm,B,M,0,19,shoulder,0,-1,0,N,N,N,1500 Block of Olney Ave.,POINT (-75.146612 40.039008),20
35,201535110535,0411,12/19/2015 12:00:00 AM,22:30 pm,B,M,0,22,arm,0,-1,0,N,N,N,1800 Block of W. Rockland,POINT (-75.153628 40.028498),20
39,201539000351,0411,01/02/2015 12:00:00 AM,15:20 pm,B,M,0,20,multi,0,-1,0,N,N,N,4900 Block of Keyser St.,POINT (-75.165658 40.02533),21
35,201535112079,0411,12/26/2015 12:00:00 AM,16:13 pm,B,M,0,26,chest,0,-1,0,N,N,N,5700 Block of N. American St.,POINT (-75.126485 40.037547),20
39,201539002397,0411,01/11/2015 12:00:00 AM,01:33 am,B,M,0,23,arm,0,-1,0,N,N,N,1600 Block of W. Wingohcking St.,POINT (-75.153353 40.022054),21
39,201539000505,0111,01/02/2015 12:00:00 AM,23:20 pm,B,M,0,24,head,0,-1,-1,N,N,N,2900 Block of Chalmer St.,POINT (-75.176307 39.999973),21
39,201539002398,0411,01/11/2015 12:00:00 AM,01:33 am,W,F,0,31,head,0,-1,0,N,N,N,1600 Block of W. Wingohcking St.,POINT (-75.153353 40.022054),21
39,201539002405,0411,01/11/2015 12:00:00 AM,01:33 am,B,M,0,25,leg,0,-1,0,N,N,N,1600 Block of W. Wingohcking St.,POINT (-75.153353 40.022054),21
39,201539004154,0411,05/25/2015 12:00:00 AM,12:18 pm,B,M,0,27,head-m,0,-1,0,N,N,N,3100 Block of N. 28th St.,POINT (-75.175429 40.003605),21
39,201539005422,0411,01/21/2015 12:00:00 AM,23:11 pm,B,M,0,28,multi,0,-1,0,N,N,N,4400 Block of N. Gratz St.,POINT (-75.156096 40.022076),21
39,201539005424,0411,01/21/2015 12:00:00 AM,23:11 pm,B,M,0,38,multi,0,-1,0,N,N,N,4400 Block of N. Gratz St.,POINT (-75.156096 40.022076),21
39,201539006735,0411,01/26/2015 12:00:00 AM,23:00 pm,B,M,0,28,arm,0,-1,0,N,N,N,4800 Block of Keyser St.,POINT (-75.164604 40.024649),21
39,201539007546,0411,01/30/2015 12:00:00 AM,01:50 am,B,F,0,27,leg,0,-1,0,N,N,N,3000 Block of N. 22nd St.,POINT (-75.166619 40.00022),21
39,201539008420,0411,02/02/2015 12:00:00 AM,17:13 pm,B,F,0,24,head,0,-1,0,N,N,N,2600 Block of Roberts Ave.,POINT (-75.169937 40.015194),21
