OBJECTID,CRN,CRASH_YEAR,UNIT_NUM,VEH_TYPE,BODY_TYPE,VEH_MOVEMENT,TRAVEL_SPD,VEHICLE_FAILURE
301,2011015814,2011,1,3,39,1,999,0
302,2011015814,2011,2,1,2,1,999,0
303,2011015815,2011,1,6,15,1,25,0
304,2011015815,2011,2,,,,,0
305,2011015816,2011,1,1,4,1,999,0
306,2011015816,2011,2,6,15,3,0,0
307,2011015827,2011,1,6,15,12,999,0
308,2011015827,2011,2,7,41,6,0,0
309,2011015828,2011,1,4,15,1,20,0
310,2011015828,2011,2,6,15,3,0,0
311,2011015829,2011,1,1,4,1,999,0
312,2011015829,2011,2,4,73,1,25,0
313,2011015830,2011,1,1,2,12,999,0
314,2011015830,2011,2,1,4,1,999,0
315,2011015830,2011,3,1,15,1,999,0
316,2011015831,2011,1,1,4,1,999,0
317,2011015831,2011,2,1,4,1,999,0
318,2011015832,2011,1,1,3,1,999,0
319,2011015832,2011,2,1,4,1,999,0
320,2011015838,2011,1,7,12,1,30,0
321,2011015840,2011,1,1,4,1,999,0
322,2011015841,2011,1,1,2,1,999,0
323,2011015841,2011,2,1,4,12,999,0
324,2011015842,2011,1,1,4,1,999,0
325,2011015842,2011,2,1,4,1,999,0
326,2011015843,2011,1,6,15,17,999,0
327,2011015844,2011,1,1,4,1,999,0
328,2011015845,2011,1,1,2,1,25,0
329,2011015845,2011,2,4,51,12,15,0
330,2011015846,2011,1,1,2,8,999,0
331,2011015846,2011,2,4,41,6,0,0
332,2011015846,2011,3,6,15,6,0,0
333,2011015847,2011,1,6,15,1,999,0
334,2011015847,2011,2,7,12,1,999,0
335,2011015848,2011,1,1,4,12,999,0
336,2011015848,2011,2,1,4,1,999,0
337,2011015849,2011,1,1,9,1,999,1
338,2011015850,2011,1,6,15,1,10,0
339,2011015850,2011,2,1,4,1,25,0
340,2011015861,2011,1,1,4,1,999,0
341,2011015861,2011,2,1,4,1,999,0
342,2011015864,2011,1,1,4,12,999,0
343,2011015864,2011,2,1,1,1,999,0
344,2011015866,2011,1,1,9,99,999,0
345,2011015866,2011,2,6,15,6,0,0
346,2011015866,2011,3,1,4,6,0,0
347,2011015866,2011,4,1,6,6,0,0
348,2011015866,2011,5,1,2,6,0,0
349,2011015866,2011,6,6,15,6,0,0
350,2011015866,2011,7,1,4,6,0,0
351,2011015867,2011,1,1,4,12,999,0
352,2011015867,2011,2,,,,,0
353,2011015893,2011,1,1,4,12,999,0
354,2011015893,2011,2,1,4,1,999,0
355,2011015894,2011,1,1,4,1,999,0
356,2011015894,2011,2,6,15,15,999,0
357,2011015895,2011,1,1,15,1,999,0
358,2011015895,2011,2,1,4,3,0,0
359,2011015899,2011,1,1,4,10,999,0
360,2011015899,2011,2,1,3,17,999,0
361,2011015899,2011,3,1,12,17,999,0
362,2011015899,2011,4,1,15,17,999,0
363,2011015899,2011,5,1,4,17,999,0
364,2011015899,2011,6,1,4,17,999,0
365,2011015899,2011,7,1,15,17,999,0
366,2011015900,2011,1,1,6,1,999,1
367,2011015900,2011,2,1,4,13,999,1
368,2011015901,2011,1,1,4,1,999,0
369,2011015901,2011,2,1,4,12,999,0
370,2011015902,2011,1,1,4,1,999,0
371,2011015902,2011,2,,,,,0
372,2011015903,2011,1,1,2,1,999,0
373,2011015903,2011,2,4,69,12,15,0
374,2011015904,2011,1,4,51,1,25,1
375,2011015904,2011,2,6,41,1,10,1
376,2011015904,2011,3,1,4,6,0,1
377,2011015906,2011,1,1,5,1,25,0
378,2011015906,2011,2,1,4,1,30,0
379,2011015909,2011,1,1,4,17,999,0
380,2011015909,2011,2,1,4,6,0,0
381,2011015909,2011,3,6,15,6,0,0
382,2011015910,2011,1,6,12,1,999,0
383,2011015911,2011,1,1,9,1,30,0
384,2011015911,2011,2,,,,,0
385,2011015912,2011,1,1,4,1,999,0
386,2011015912,2011,2,1,4,12,999,0
387,2011015913,2011,1,1,4,1,999,0
388,2011015913,2011,2,1,4,5,999,0
389,2011015914,2011,1,4,15,1,999,0
390,2011015914,2011,2,1,15,6,0,0
391,2011015914,2011,3,1,4,6,0,0
392,2011015914,2011,4,,,,,0
393,2011015915,2011,1,1,4,16,999,0
394,2011015916,2011,1,5,73,1,999,0
395,2011015916,2011,2,1,4,12,999,0
396,2011015917,2011,1,4,51,1,999,0
397,2011015917,2011,2,6,15,3,0,0
398,2011015918,2011,1,6,15,1,20,0
399,2011015918,2011,2,1,4,1,999,0
400,2011015921,2011,1,1,4,1,35,0
401,2011015921,2011,2,1,4,12,10,0
402,2011015923,2011,1,1,4,1,999,0
403,2011015923,2011,2,5,79,1,999,0
404,2011015924,2011,1,99,,14,999,0
405,2011015924,2011,2,6,15,1,999,0
406,2011015925,2011,1,4,51,1,35,0
407,2011015925,2011,2,1,4,1,999,0
408,2011015926,2011,1,1,4,1,999,0
409,2011015926,2011,2,6,15,1,999,0
410,2011015926,2011,3,7,12,6,0,0
411,2011015926,2011,4,1,4,6,0,0
412,2011015926,2011,5,6,15,6,0,0
413,2011015927,2011,1,6,15,1,999,0
414,2011015927,2011,2,1,4,1,999,0
415,2011015928,2011,1,5,51,10,999,0
416,2011015928,2011,2,1,9,6,0,0
417,2011015929,2011,1,1,2,1,20,0
418,2011015929,2011,2,1,4,2,5,0
419,2011015930,2011,1,1,4,1,999,0
420,2011015930,2011,2,1,4,1,999,0
421,2011015931,2011,1,99,,1,999,0
422,2011015931,2011,2,,,,,0
423,2011015932,2011,1,1,4,1,999,0
424,2011015932,2011,2,1,15,1,999,0
425,2011015933,2011,1,1,4,8,999,0
426,2011015933,2011,2,6,15,6,0,0
427,2011015934,2011,1,1,9,1,999,0
428,2011015934,2011,2,1,4,1,999,0
429,2011015935,2011,1,1,9,1,999,0
430,2011015935,2011,2,6,15,1,999,0
431,2011015936,2011,1,6,15,1,40,0
432,2011015936,2011,2,6,15,6,0,0
433,2011015937,2011,1,1,4,4,25,0
434,2011015937,2011,2,1,4,1,25,0
435,2011015938,2011,1,1,4,1,999,0
436,2011015939,2011,1,6,15,1,999,0
437,2011015939,2011,2,1,1,3,0,0
438,2011015940,2011,1,1,4,1,999,0
439,2011015940,2011,2,1,15,10,999,0
440,2011015942,2011,1,1,4,1,999,1
441,2011015942,2011,2,1,4,1,999,1
442,2011015943,2011,1,1,6,1,999,0
443,2011015943,2011,2,1,4,1,999,0
444,2011015943,2011,3,1,15,1,999,0
445,2011015944,2011,1,1,4,10,999,0
446,2011015944,2011,2,,,,,0
447,2011015945,2011,1,99,,17,999,0
448,2011015945,2011,2,1,4,3,0,0
449,2011015945,2011,3,1,4,6,0,0
450,2011015946,2011,1,1,4,1,999,0
451,2011015946,2011,2,6,15,12,999,0
452,2011015946,2011,3,6,15,1,999,0
453,2011015947,2011,1,1,4,1,999,0
454,2011015948,2011,1,4,41,1,999,0
455,2011015948,2011,2,7,12,1,999,0
456,2011015948,2011,3,1,4,1,999,0
457,2011015950,2011,1,1,2,1,999,0
458,2011015950,2011,2,1,4,12,999,0
459,2011015951,2011,1,6,15,98,999,0
460,2011015951,2011,2,1,4,1,999,0
461,2011015952,2011,1,1,4,13,999,1
462,2011015952,2011,2,1,9,1,999,1
463,2011015953,2011,1,1,4,1,999,0
464,2011015953,2011,2,1,4,1,999,0
465,2011015954,2011,1,6,19,1,999,0
466,2011015954,2011,2,,,,,0
467,2011015955,2011,1,1,4,1,999,0
468,2011015955,2011,2,1,15,1,999,0
469,2011015956,2011,1,1,4,1,999,1
470,2011015956,2011,2,1,4,1,999,1
471,2011015957,2011,1,7,12,10,999,0
472,2011015957,2011,2,,,,,0
473,2011015958,2011,1,1,2,1,15,0
474,2011015958,2011,2,1,2,3,0,0
475,2011015959,2011,1,1,6,1,999,0
476,2011015959,2011,2,,,,,0
477,2011015960,2011,1,1,4,1,999,0
478,2011015960,2011,2,4,41,1,999,0
479,2011015961,2011,1,1,4,1,5,0
480,2011015961,2011,2,1,4,1,25,0
481,2011015963,2011,1,1,2,1,999,0
482,2011015963,2011,2,1,4,12,999,0
483,2011015964,2011,1,1,4,1,999,0
484,2011015964,2011,2,1,4,1,999,0
485,2011015965,2011,1,6,51,99,999,0
486,2011015966,2011,1,1,9,1,999,0
487,2011015966,2011,2,,,,,0
488,2011015967,2011,1,6,15,1,999,0
489,2011015967,2011,2,4,51,1,999,0
490,2011015968,2011,1,1,15,12,999,0
491,2011015968,2011,2,1,2,1,999,0
492,2011015969,2011,1,1,4,1,999,1
493,2011015969,2011,2,6,15,1,999,1
494,2011015969,2011,3,1,4,6,0,1
495,2011015970,2011,1,1,4,1,40,0
496,2011015970,2011,2,7,12,1,15,0
497,2011015970,2011,3,1,2,6,0,0
498,2011015970,2011,4,1,4,6,0,0
499,2011015970,2011,5,1,12,6,0,0
500,2011015970,2011,6,1,4,6,0,0
501,2011015971,2011,1,1,12,17,15,0
502,2011015972,2011,1,1,4,12,999,0
503,2011015972,2011,2,,,,,0
504,2011015973,2011,1,1,4,1,999,0
505,2011015973,2011,2,,,,,0
506,2011015974,2011,1,1,4,1,45,0
507,2011015974,2011,2,6,15,6,0,0
508,2011015975,2011,1,1,4,1,60,0
509,2011015975,2011,2,1,4,1,999,0
510,2011015975,2011,3,7,41,6,0,0
511,2011015975,2011,4,1,4,6,0,0
512,2011015977,2011,1,7,12,1,999,0
513,2011015977,2011,2,1,4,1,999,0
514,2011015977,2011,3,1,2,1,999,0
515,2011015978,2011,1,1,2,1,25,1
516,2011015978,2011,2,1,4,1,25,1
517,2011015979,2011,1,1,2,1,999,0
518,2011015980,2011,1,1,4,1,999,0
519,2011015981,2011,1,99,,1,999,0
520,2011015981,2011,2,6,15,3,0,0
521,2011015982,2011,1,1,4,99,999,0
522,2011015983,2011,1,1,4,13,99,0
523,2011015983,2011,2,1,4,1,99,0
524,2011015984,2011,1,1,4,1,25,0
525,2011015984,2011,2,1,4,1,25,0
526,2011015985,2011,1,1,4,1,999,0
527,2011015985,2011,2,6,15,12,999,0
528,2011015988,2011,1,1,1,12,999,0
529,2011015988,2011,2,1,4,1,999,0
530,2011015989,2011,1,1,4,1,999,0
531,2011015989,2011,2,6,15,6,0,0
532,2011015989,2011,3,1,4,6,0,0
533,2011015989,2011,4,1,4,6,0,0
534,2011015990,2011,1,1,4,1,999,0
535,2011015990,2011,2,1,15,12,999,0
536,2011015991,2011,1,1,4,1,999,0
537,2011015991,2011,2,1,4,12,999,0
538,2011015992,2011,1,1,4,1,999,0
539,2011015992,2011,2,1,4,1,999,0
540,2011015994,2011,1,3,39,1,999,0
541,2011015994,2011,2,6,4,10,999,0
542,2011015995,2011,1,1,15,1,999,0
543,2011015995,2011,2,1,4,1,999,0
544,2011015995,2011,3,1,15,99,999,0
545,2011015996,2011,1,4,73,12,999,0
546,2011015996,2011,2,4,41,1,999,0
547,2011015999,2011,1,7,49,10,999,0
548,2011015999,2011,2,,,,,0
549,2011016000,2011,1,3,39,12,999,0
550,2011016000,2011,2,,,,,0
551,2011016001,2011,1,1,3,1,999,0
552,2011016001,2011,2,5,73,3,0,0
553,2011016002,2011,1,5,73,1,999,0
554,2011016002,2011,2,6,5,6,0,0
555,2011016002,2011,3,6,15,6,0,0
556,2011016003,2011,1,1,4,1,999,0
557,2011016003,2011,2,1,4,1,999,0
558,2011016004,2011,1,1,4,1,999,0
