OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
12967,2011104510,2011,4,50,1,E
12968,2011104725,2011,3,50,1,W
12969,2011104726,2011,3,50,1,W
12970,2011104727,2011,3,55,1,S
12971,2011104729,2011,4,55,1,S
12972,2011104730,2011,4,55,1,N
12973,2011104731,2011,3,55,1,S
12974,2011104733,2011,3,55,1,N
12975,2011104951,2011,4,55,1,S
12976,2011104952,2011,3,55,1,N
12977,2011105112,2011,4,50,1,E
12978,2011105113,2011,3,50,1,W
12979,2011105114,2011,4,55,1,S
12980,2011105309,2011,2,35,3,S
12981,2011105660,2011,2,50,1,E
12982,2011105660,2011,1,30,1,E
12983,2011105919,2011,4,55,1,S
12984,2011105921,2011,4,50,1,W
12985,2011105924,2011,3,55,1,S
12986,2011105926,2011,4,50,1,W
12987,2011106080,2011,1,25,,S
12988,2011106080,2011,1,35,,W
12989,2011106081,2011,2,35,3,E
12990,2011106082,2011,2,25,3,W
12991,2011106082,2011,1,,,N
12992,2011106082,2011,2,25,3,E
12993,2011106083,2011,4,30,3,N
12994,2011106083,2011,4,30,3,S
12995,2011106083,2011,3,25,3,E
12996,2011106083,2011,1,,1,E
12997,2011106084,2011,1,30,,N
12998,2011106085,2011,3,40,3,N
12999,2011106085,2011,3,30,3,S
13000,2011106085,2011,2,25,3,E
3001,2011038213,2011,2,25,,N
3002,2011038214,2011,2,30,3,E
3003,2011038214,2011,2,30,3,W
3004,2011038214,2011,1,,,S
3005,2011038215,2011,2,25,3,N
3006,2011038216,2011,2,30,3,N
3007,2011038217,2011,2,25,3,E
3008,2011038217,2011,2,25,3,W
3009,2011038217,2011,1,,,S
3010,2011038218,2011,2,35,3,N
3011,2011038219,2011,1,15,,N
3012,2011038219,2011,1,15,,E
3013,2011038220,2011,2,30,3,N
3014,2011038220,2011,2,30,3,S
3015,2011038220,2011,2,,,E
3016,2011038221,2011,4,25,,N
3017,2011038222,2011,2,30,3,E
3018,2011038222,2011,2,30,3,W
3019,2011038222,2011,1,,,N
3020,2011038223,2011,2,25,,N
3021,2011038223,2011,2,25,,E
3022,2011038224,2011,2,25,3,E
3023,2011038224,2011,1,,,S
3024,2011038225,2011,2,25,3,E
3025,2011038225,2011,2,25,,S
3026,2011038226,2011,1,,,E
3027,2011038226,2011,1,,,S
3028,2011038227,2011,3,40,3,N
3029,2011038227,2011,1,25,,N
3030,2011038228,2011,2,30,3,E
3031,2011038319,2011,2,55,1,E
3032,2011038320,2011,3,55,1,N
3033,2011038321,2011,3,55,1,N
3034,2011038342,2011,2,,,S
3035,2011038342,2011,1,25,,W
3036,2011038343,2011,2,35,3,S
3037,2011038343,2011,2,35,,W
3038,2011038344,2011,2,35,3,N
3039,2011038344,2011,2,35,3,S
3040,2011038344,2011,1,25,,E
3041,2011038345,2011,2,25,,N
3042,2011038346,2011,3,35,3,E
3043,2011038347,2011,2,15,,E
3044,2011038347,2011,2,25,,N
3045,2011038348,2011,3,35,3,E
3046,2011038348,2011,2,25,,N
3047,2011038349,2011,2,25,,N
3048,2011038349,2011,2,25,,E
3049,2011038350,2011,2,25,3,N
3050,2011038351,2011,2,25,,N
3051,2011038351,2011,2,,,W
3052,2011038352,2011,2,25,3,N
3053,2011038352,2011,2,25,,W
3054,2011038354,2011,1,,1,E
3055,2011038354,2011,2,35,,E
3056,2011038354,2011,1,,,E
3057,2011038355,2011,2,25,3,S
3058,2011038355,2011,1,25,,E
3059,2011038356,2011,2,30,3,N
3060,2011038356,2011,2,30,3,S
3061,2011038356,2011,1,25,3,E
3062,2011038356,2011,1,25,3,W
3063,2011038357,2011,2,25,3,E
3064,2011038357,2011,2,25,,N
3065,2011038358,2011,2,35,3,E
3066,2011038358,2011,2,25,,S
3067,2011038359,2011,1,15,,W
3068,2011038359,2011,2,25,,N
3069,2011038360,2011,2,,,N
3070,2011038360,2011,2,25,,W
3071,2011038361,2011,2,50,3,E
3072,2011038361,2011,2,50,3,W
3073,2011038361,2011,1,,1,S
3074,2011038361,2011,1,,1,S
3075,2011038362,2011,2,25,3,W
3076,2011038362,2011,1,25,,N
3077,2011038363,2011,2,25,,W
3078,2011038370,2011,2,35,3,N
3079,2011038370,2011,3,35,3,S
3080,2011038370,2011,2,25,,W
3081,2011038371,2011,2,35,3,N
3082,2011038371,2011,2,25,,E
3083,2011038371,2011,2,25,,E
3084,2011038372,2011,1,25,3,W
3085,2011038372,2011,2,,,S
3086,2011038373,2011,2,25,3,S
3087,2011038374,2011,3,55,1,W
3088,2011038374,2011,1,,1,W
3089,2011038375,2011,3,25,3,N
3090,2011038377,2011,2,,,W
3091,2011038377,2011,2,,,N
3092,2011038378,2011,2,30,3,N
3093,2011038378,2011,2,30,3,S
3094,2011038378,2011,3,25,3,E
3095,2011038378,2011,1,,1,E
3096,2011038379,2011,2,35,3,E
3097,2011038379,2011,4,35,3,W
3098,2011038379,2011,4,25,,S
3099,2011038380,2011,2,25,3,E
3100,2011038380,2011,2,25,3,W
3101,2011038380,2011,2,35,,N
3102,2011038382,2011,2,25,3,N
3103,2011038383,2011,1,25,,E
3104,2011038383,2011,1,,,N
3105,2011038384,2011,2,35,3,E
3106,2011038384,2011,2,25,,S
3107,2011038385,2011,2,30,3,E
3108,2011038385,2011,2,35,3,N
3109,2011038385,2011,2,35,3,S
3110,2011038386,2011,2,35,3,N
3111,2011038386,2011,2,35,3,S
3112,2011038386,2011,2,,,E
3113,2011038387,2011,4,30,3,S
3114,2011038388,2011,2,30,3,S
3115,2011038388,2011,2,25,,W
3116,2011038389,2011,2,30,3,S
3117,2011038390,2011,4,25,3,N
3118,2011038390,2011,1,35,3,S
3119,2011038390,2011,2,,3,N
3120,2011038390,2011,2,,3,S
3121,2011038393,2011,2,35,3,N
3122,2011038393,2011,2,,,W
3123,2011038394,2011,2,,,E
3124,2011038395,2011,1,,,E
3125,2011038397,2011,2,30,3,S
3126,2011038398,2011,1,25,,W
3127,2011038398,2011,1,35,,N
3128,2011038399,2011,2,25,,E
3129,2011038401,2011,3,40,3,N
3130,2011038402,2011,2,,,S
3131,2011038403,2011,2,,,N
3132,2011038403,2011,2,,,W
3133,2011038404,2011,2,35,,W
3134,2011038405,2011,1,,,W
3135,2011038407,2011,2,35,,E
3136,2011038408,2011,3,45,3,S
3137,2011038408,2011,2,30,3,E
3138,2011038408,2011,3,30,3,W
3139,2011038409,2011,1,35,1,E
3140,2011038409,2011,3,35,,W
3141,2011038409,2011,1,35,,E
3142,2011038410,2011,1,25,,E
3143,2011038410,2011,1,25,,S
3144,2011038411,2011,3,40,3,N
3145,2011038411,2011,2,,,N
3146,2011038411,2011,2,,,N
3147,2011038412,2011,3,45,3,S
3148,2011038413,2011,3,45,3,S
3149,2011038413,2011,4,35,,W
3150,2011038414,2011,3,45,3,N
3151,2011038414,2011,2,30,3,E
3152,2011038414,2011,3,25,3,W
3153,2011038415,2011,3,40,3,N
3154,2011038415,2011,3,25,3,N
3155,2011038415,2011,3,25,,N
3156,2011038416,2011,3,40,3,N
3157,2011038416,2011,2,30,3,E
3158,2011038416,2011,2,30,3,W
3159,2011038417,2011,1,25,,S
3160,2011038418,2011,2,35,3,N
3161,2011038419,2011,2,,,S
3162,2011038419,2011,2,,,N
3163,2011038420,2011,2,,,N
3164,2011038421,2011,2,40,3,S
3165,2011038422,2011,2,,,W
3166,2011038423,2011,3,45,3,N
3167,2011038423,2011,2,,,E
3168,2011038425,2011,2,,,N
3169,2011038427,2011,2,40,3,N
3170,2011038428,2011,2,35,3,S
3171,2011038429,2011,2,,,S
3172,2011038429,2011,2,20,,W
3173,2011038430,2011,2,30,3,S
3174,2011038430,2011,2,,,E
3175,2011038431,2011,2,,,W
3176,2011038432,2011,4,35,3,N
3177,2011038432,2011,2,45,3,E
3178,2011038433,2011,2,35,,E
3179,2011038433,2011,2,25,,N
3180,2011038434,2011,2,35,3,N
3181,2011038434,2011,2,35,3,S
3182,2011038434,2011,2,,,W
3183,2011038435,2011,3,45,3,S
3184,2011038435,2011,2,30,3,E
3185,2011038435,2011,3,25,3,W
3186,2011038436,2011,2,,,N
3187,2011038436,2011,1,25,,W
3188,2011038437,2011,3,50,2,N
3189,2011038438,2011,2,35,3,N
3190,2011038438,2011,2,35,3,S
3191,2011038438,2011,2,35,,N
3192,2011038440,2011,1,25,,W
3193,2011038441,2011,2,25,3,N
3194,2011038441,2011,3,30,3,N
3195,2011038441,2011,3,30,3,S
3196,2011038442,2011,2,25,,S
3197,2011038443,2011,2,,,N
3198,2011038445,2011,2,25,3,N
3199,2011038446,2011,2,30,3,S
3200,2011038447,2011,2,25,,E
3201,2011038448,2011,2,25,,S
3202,2011038449,2011,2,25,3,W
3203,2011038449,2011,2,,,N
3204,2011038450,2011,2,25,3,E
3205,2011038450,2011,1,,,S
3206,2011038451,2011,2,25,3,N
3207,2011038451,2011,2,35,3,S
3208,2011038451,2011,2,,3,N
3209,2011038451,2011,2,,3,S
3210,2011038451,2011,2,25,,W
3211,2011038452,2011,2,25,3,N
3212,2011038452,2011,2,35,3,S
3213,2011038452,2011,2,,3,N
3214,2011038452,2011,2,,3,S
3215,2011038452,2011,2,25,,E
3216,2011038453,2011,2,35,3,N
3217,2011038453,2011,2,35,3,S
3218,2011038453,2011,2,30,3,B
3219,2011038454,2011,4,30,3,S
3220,2011038455,2011,2,30,3,E
3221,2011038455,2011,2,30,3,W
3222,2011038455,2011,2,25,3,N
3223,2011038455,2011,2,25,3,S
3224,2011038457,2011,1,25,,S
3225,2011038458,2011,2,25,3,E
3226,2011038458,2011,4,35,3,S
3227,2011038458,2011,3,,,E
3228,2011038459,2011,2,30,3,N
3229,2011038459,2011,2,30,3,S
3230,2011038459,2011,2,,,E
3231,2011038460,2011,3,30,3,N
3232,2011038460,2011,2,30,3,S
3233,2011038460,2011,2,,,S
3234,2011038460,2011,2,,,N
3235,2011038461,2011,4,25,3,E
3236,2011038462,2011,2,45,3,E
3237,2011038462,2011,2,45,3,W
3238,2011038462,2011,2,,,N
3239,2011038463,2011,2,,,S
3240,2011038463,2011,2,25,,W
3241,2011038464,2011,3,25,3,S
3242,2011038464,2011,2,,,N
3243,2011038465,2011,3,,3,E
3244,2011038466,2011,2,25,3,E
3245,2011038466,2011,3,30,3,N
3246,2011038466,2011,3,30,3,S
3247,2011038467,2011,1,,,W
3248,2011038468,2011,2,30,3,S
3249,2011038469,2011,1,25,,W
3250,2011038469,2011,2,25,,S
3251,2011038470,2011,2,35,3,N
3252,2011038633,2011,2,35,,W
3253,2011038634,2011,2,,,N
3254,2011038635,2011,4,35,3,S
3255,2011038635,2011,2,25,,N
3256,2011038636,2011,2,35,3,E
3257,2011038637,2011,2,,,N
3258,2011038638,2011,2,30,3,N
3259,2011038638,2011,2,40,3,E
3260,2011038638,2011,2,35,3,W
3261,2011038639,2011,2,25,3,N
3262,2011038639,2011,2,,,E
3263,2011038640,2011,3,35,3,E
3264,2011038640,2011,2,35,3,W
3265,2011038640,2011,1,,,S
3266,2011038641,2011,1,25,3,E
3267,2011038641,2011,1,25,3,W
3268,2011038641,2011,2,25,,N
3269,2011038642,2011,2,25,,W
3270,2011038642,2011,2,25,,N
3271,2011038643,2011,2,25,,E
3272,2011038770,2011,3,35,3,N
3273,2011038770,2011,3,30,3,S
3274,2011038770,2011,1,25,1,N
3275,2011038774,2011,1,15,,N
3276,2011038862,2011,3,50,1,N
3277,2011039011,2011,3,45,3,N
3278,2011039079,2011,2,50,1,W
3279,2011039083,2011,2,50,1,E
3280,2011039200,2011,4,55,1,N
3281,2011039201,2011,3,55,1,N
3282,2011039308,2011,3,45,,W
3283,2011039345,2011,3,55,1,W
3284,2011039345,2011,1,45,1,N
3285,2011039433,2011,5,55,1,N
3286,2011039436,2011,3,55,1,S
3287,2011039743,2011,4,55,1,S
3288,2011039847,2011,2,50,1,E
3289,2011039848,2011,3,55,1,W
3290,2011039849,2011,5,55,1,S
3291,2011039850,2011,3,50,1,E
3292,2011039851,2011,4,55,1,S
3293,2011039852,2011,3,50,1,E
3294,2011039853,2011,3,50,1,E
3295,2011040011,2011,2,35,3,S
3296,2011040069,2011,5,55,1,N
3297,2011040070,2011,2,50,1,W
3298,2011040235,2011,1,,,E
3299,2011040235,2011,1,25,,S
3300,2011040236,2011,2,25,,E
3301,2011040236,2011,2,,,E
3302,2011040237,2011,2,30,3,N
3303,2011040238,2011,2,25,3,N
3304,2011040238,2011,2,,,N
3305,2011040239,2011,2,25,,S
3306,2011040239,2011,2,25,,W
3307,2011040240,2011,99,,,N
3308,2011040241,2011,2,25,3,E
3309,2011040241,2011,1,25,,N
3310,2011040242,2011,2,55,1,W
3311,2011040243,2011,1,30,3,S
3312,2011040244,2011,2,25,,E
3313,2011040246,2011,2,35,,N
3314,2011040246,2011,1,35,,E
3315,2011040247,2011,2,25,3,S
3316,2011040248,2011,2,,,W
3317,2011040248,2011,2,25,,S
3318,2011040249,2011,1,,,E
3319,2011040249,2011,1,,,N
3320,2011040250,2011,2,30,3,N
3321,2011040250,2011,2,30,3,S
3322,2011040250,2011,2,,,E
3323,2011040252,2011,2,35,3,N
3324,2011040252,2011,2,35,3,S
3325,2011040252,2011,2,,,N
3326,2011040253,2011,3,35,,E
3327,2011040256,2011,2,15,,S
3328,2011040257,2011,2,35,3,S
3329,2011040258,2011,1,,1,E
3330,2011040258,2011,2,15,,E
3331,2011040258,2011,1,,,E
3332,2011040259,2011,2,30,3,E
3333,2011040259,2011,1,25,,N
3334,2011040260,2011,3,30,3,N
3335,2011040260,2011,3,25,3,S
3336,2011040260,2011,4,35,,N
3337,2011040268,2011,2,25,3,N
3338,2011040268,2011,2,,,E
3339,2011040269,2011,2,25,3,E
3340,2011040269,2011,99,,,S
3341,2011040270,2011,1,25,,W
3342,2011040270,2011,1,25,,N
3343,2011040283,2011,2,35,3,N
3344,2011040283,2011,2,35,3,S
3345,2011040283,2011,1,25,,W
3346,2011040284,2011,1,25,,W
3347,2011040284,2011,2,25,,N
3348,2011040285,2011,2,25,,W
3349,2011040287,2011,2,25,3,E
3350,2011040287,2011,2,25,3,W
3351,2011040287,2011,1,,,N
3352,2011040288,2011,2,,,E
3353,2011040288,2011,1,,,N
3354,2011040289,2011,1,,,E
3355,2011040289,2011,1,,,N
3356,2011040289,2011,1,,,N
3357,2011040290,2011,1,,,E
3358,2011040290,2011,1,,,N
3359,2011040323,2011,2,30,3,E
3360,2011040323,2011,2,30,3,W
3361,2011040323,2011,1,,,S
3362,2011040324,2011,1,,,N
3363,2011040325,2011,1,,,S
3364,2011040326,2011,2,30,3,N
3365,2011040326,2011,2,35,3,S
3366,2011040326,2011,2,,,W
3367,2011040327,2011,2,25,,N
3368,2011040328,2011,2,,,N
3369,2011040328,2011,2,25,,E
3370,2011040329,2011,2,35,3,N
3371,2011040329,2011,2,35,3,S
3372,2011040329,2011,1,,,N
3373,2011040331,2011,2,,,N
3374,2011040331,2011,3,25,,S
3375,2011040332,2011,1,,,S
3376,2011040332,2011,2,,,E
3377,2011040333,2011,2,,,E
3378,2011040333,2011,2,,,N
3379,2011040334,2011,1,25,,N
3380,2011040335,2011,2,30,3,N
3381,2011040335,2011,2,30,3,S
3382,2011040335,2011,1,,,W
3383,2011040336,2011,1,25,1,S
3384,2011040336,2011,2,35,,S
3385,2011040336,2011,2,35,,S
3386,2011040337,2011,2,25,3,N
3387,2011040337,2011,2,25,,W
3388,2011040338,2011,2,25,3,B
3389,2011040338,2011,2,30,,E
3390,2011040338,2011,2,30,,N
3391,2011040339,2011,2,35,,E
3392,2011040340,2011,2,30,3,E
3393,2011040340,2011,2,30,3,W
3394,2011040340,2011,1,,,S
3395,2011040341,2011,2,35,,N
3396,2011040341,2011,2,35,,E
3397,2011040342,2011,3,45,3,N
3398,2011040343,2011,3,40,3,N
3399,2011040344,2011,3,40,3,S
3400,2011040344,2011,2,,,N
3401,2011040345,2011,2,25,,N
3402,2011040346,2011,3,40,3,S
3403,2011040346,2011,3,30,3,E
3404,2011040346,2011,2,30,3,W
3405,2011040346,2011,2,35,,E
3406,2011040347,2011,3,35,3,S
3407,2011040348,2011,3,40,,N
3408,2011040349,2011,1,25,,W
3409,2011040349,2011,1,25,,N
3410,2011040350,2011,2,25,,W
3411,2011040350,2011,2,25,,N
3412,2011040351,2011,2,25,3,S
3413,2011040351,2011,2,25,,E
3414,2011040352,2011,1,35,,W
3415,2011040352,2011,1,35,,N
3416,2011040353,2011,1,25,,W
3417,2011040353,2011,1,25,,S
3418,2011040354,2011,2,,,N
3419,2011040354,2011,2,,,S
3420,2011040355,2011,2,,,S
3421,2011040356,2011,99,,,N
3422,2011040357,2011,2,25,,E
3423,2011040357,2011,2,25,,E
3424,2011040357,2011,1,,,N
3425,2011040359,2011,3,40,3,S
3426,2011040359,2011,99,,,W
3427,2011040360,2011,3,,3,S
3428,2011040361,2011,1,25,,N
3429,2011040361,2011,1,25,,E
3430,2011040363,2011,1,,1,S
3431,2011040364,2011,1,,,N
3432,2011040364,2011,1,,,W
3433,2011040365,2011,3,35,,S
3434,2011040366,2011,2,35,3,E
3435,2011040367,2011,1,,,S
3436,2011040367,2011,2,,,W
3437,2011040368,2011,4,30,3,N
3438,2011040369,2011,2,30,3,E
3439,2011040369,2011,1,25,,N
3440,2011040370,2011,2,,,W
3441,2011040370,2011,2,,,N
3442,2011040371,2011,2,,,W
3443,2011040371,2011,2,25,,E
3444,2011040372,2011,2,25,,E
3445,2011040373,2011,1,25,,N
3446,2011040373,2011,1,25,,E
3447,2011040374,2011,4,25,3,W
3448,2011040374,2011,2,,1,W
3449,2011040374,2011,4,,,N
3450,2011040374,2011,2,,,N
3451,2011040375,2011,3,45,3,N
3452,2011040375,2011,3,45,3,S
3453,2011040375,2011,3,45,3,N
3454,2011040375,2011,2,30,3,E
3455,2011040375,2011,3,25,3,W
3456,2011040376,2011,3,40,3,N
3457,2011040376,2011,2,30,,W
3458,2011040377,2011,2,50,1,S
3459,2011040378,2011,2,25,3,W
3460,2011040378,2011,1,,,S
3461,2011040379,2011,2,25,3,S
3462,2011040379,2011,2,,,E
3463,2011040380,2011,2,35,3,N
3464,2011040381,2011,2,,,E
3465,2011040381,2011,2,,,S
3466,2011040382,2011,2,25,,E
3467,2011040383,2011,2,,,W
3468,2011040383,2011,2,,,N
3469,2011040384,2011,2,35,3,N
3470,2011040384,2011,1,,,E
3471,2011040385,2011,2,,,E
3472,2011040385,2011,2,,,N
3473,2011040386,2011,2,,,E
3474,2011040387,2011,2,,,E
3475,2011040387,2011,2,,,S
3476,2011040388,2011,2,35,3,N
3477,2011040388,2011,2,35,,W
3478,2011040389,2011,2,40,3,E
3479,2011040389,2011,2,40,3,W
3480,2011040389,2011,2,35,3,E
3481,2011040389,2011,2,35,3,W
3482,2011040389,2011,2,35,3,N
3483,2011040389,2011,2,35,3,S
3484,2011040389,2011,2,25,,N
3485,2011040390,2011,2,25,3,B
3486,2011040390,2011,2,,,N
3487,2011040390,2011,2,,,E
3488,2011040391,2011,2,25,3,E
3489,2011040391,2011,2,25,,S
3490,2011040391,2011,2,25,,W
3491,2011040392,2011,2,35,3,N
3492,2011040392,2011,2,35,3,S
3493,2011040392,2011,2,35,,E
3494,2011040393,2011,2,30,3,N
3495,2011040393,2011,2,30,3,S
3496,2011040393,2011,2,30,,W
3497,2011040396,2011,2,35,,N
3498,2011040409,2011,2,25,3,W
3499,2011040409,2011,2,,,W
3500,2011040410,2011,2,25,3,E
3501,2011040410,2011,1,25,3,W
3502,2011040410,2011,2,,,N
3503,2011040411,2011,2,35,3,N
3504,2011040412,2011,2,,,N
3505,2011040412,2011,2,,,E
3506,2011040413,2011,2,35,3,S
3507,2011040414,2011,1,,,W
3508,2011040415,2011,1,,,E
3509,2011040416,2011,2,25,,S
3510,2011040417,2011,2,25,,W
3511,2011040418,2011,2,25,3,S
3512,2011040420,2011,2,25,,E
3513,2011040421,2011,1,25,,N
3514,2011040422,2011,3,30,3,N
3515,2011040422,2011,3,30,3,S
3516,2011040422,2011,2,35,,E
3517,2011040423,2011,2,25,3,E
3518,2011040423,2011,2,25,,N
3519,2011040423,2011,2,25,,W
3520,2011040424,2011,2,30,3,E
3521,2011040424,2011,2,30,,N
3522,2011040425,2011,3,50,1,N
3523,2011040425,2011,1,30,1,E
3524,2011040426,2011,3,40,3,S
3525,2011040426,2011,3,25,3,S
3526,2011040426,2011,2,25,,S
3527,2011040427,2011,2,25,3,B
3528,2011040427,2011,2,,,N
3529,2011040428,2011,2,30,3,N
3530,2011040428,2011,2,30,3,S
3531,2011040428,2011,2,25,3,W
3532,2011040429,2011,99,,,E
3533,2011040429,2011,99,,,S
3534,2011040430,2011,3,30,3,N
3535,2011040431,2011,2,25,3,N
3536,2011040431,2011,99,,,S
3537,2011040432,2011,4,,3,E
3538,2011040433,2011,1,,,W
3539,2011040434,2011,4,30,3,N
3540,2011040434,2011,4,30,3,S
3541,2011040434,2011,3,25,3,N
3542,2011040435,2011,2,,,W
3543,2011040436,2011,1,,,N
3544,2011040437,2011,2,25,,N
3545,2011040438,2011,2,30,3,E
3546,2011040438,2011,2,30,3,W
3547,2011040438,2011,2,30,3,E
3548,2011040438,2011,2,30,3,W
3549,2011040438,2011,2,25,,E
3550,2011040438,2011,2,25,,E
3551,2011040438,2011,2,25,,E
3552,2011040439,2011,1,,,W
3553,2011040439,2011,2,,,N
3554,2011040440,2011,99,,,E
3555,2011040442,2011,2,25,3,N
3556,2011040593,2011,2,55,1,W
3557,2011040595,2011,3,50,1,E
3558,2011040615,2011,1,25,,N
3559,2011040616,2011,2,30,3,E
3560,2011040616,2011,2,25,3,W
3561,2011040616,2011,2,35,3,N
3562,2011040616,2011,2,35,3,S
3563,2011040618,2011,2,35,3,E
3564,2011040618,2011,2,25,,S
3565,2011040621,2011,2,30,3,E
3566,2011040621,2011,2,30,3,W
3567,2011040621,2011,2,25,,S
3568,2011040622,2011,1,25,,W
3569,2011040625,2011,2,25,,W
3570,2011040625,2011,2,25,,S
3571,2011040626,2011,2,40,3,N
3572,2011040626,2011,2,40,3,S
3573,2011040626,2011,2,35,3,N
3574,2011040626,2011,2,35,3,S
3575,2011040626,2011,2,35,3,E
3576,2011040626,2011,2,35,3,W
3577,2011040627,2011,2,25,3,S
3578,2011040627,2011,4,35,,E
3579,2011040627,2011,1,25,,S
3580,2011040628,2011,1,25,,N
3581,2011040628,2011,1,25,,W
3582,2011040629,2011,2,25,,W
3583,2011040630,2011,2,,,N
3584,2011040630,2011,2,,,E
3585,2011040631,2011,2,30,3,S
3586,2011040632,2011,2,,,N
3587,2011040633,2011,2,30,3,N
3588,2011040633,2011,2,30,3,S
3589,2011040633,2011,2,,,W
3590,2011040634,2011,2,25,,S
3591,2011040634,2011,2,25,,E
3592,2011040732,2011,3,55,1,N
3593,2011040732,2011,1,,1,N
3594,2011040751,2011,2,30,3,E
3595,2011040751,2011,99,,,N
3596,2011040751,2011,99,,,N
3597,2011040868,2011,2,30,3,E
3598,2011040868,2011,2,30,3,W
3599,2011040868,2011,1,,,S
3600,2011041210,2011,4,45,,E
3601,2011041407,2011,2,55,1,W
3602,2011041408,2011,1,35,1,W
3603,2011041410,2011,5,55,1,S
3604,2011041412,2011,1,45,1,S
3605,2011041412,2011,1,,1,S
3606,2011041413,2011,4,55,1,N
3607,2011041414,2011,4,50,1,W
3608,2011041596,2011,5,55,1,N
3609,2011041597,2011,4,55,1,S
3610,2011041599,2011,3,55,1,N
3611,2011041599,2011,1,25,1,W
3612,2011041601,2011,3,55,1,S
3613,2011041602,2011,3,50,1,E
3614,2011041603,2011,4,55,1,S
3615,2011041604,2011,2,50,1,W
3616,2011042268,2011,4,55,1,S
3617,2011042394,2011,3,50,1,W
3618,2011042395,2011,3,55,1,S
3619,2011042396,2011,4,55,1,S
3620,2011042398,2011,2,55,1,E
3621,2011042458,2011,3,50,1,S
3622,2011042458,2011,1,,1,S
3623,2011042468,2011,2,25,,S
3624,2011042486,2011,4,35,,E
3625,2011042497,2011,4,35,,E
3626,2011042576,2011,3,55,1,N
3627,2011042803,2011,4,50,1,E
3628,2011042915,2011,2,30,3,N
3629,2011042915,2011,99,,,E
3630,2011042918,2011,3,35,3,S
3631,2011043322,2011,4,55,1,N
3632,2011043324,2011,4,55,1,N
3633,2011043326,2011,4,55,1,S
3634,2011043329,2011,4,55,1,S
3635,2011043419,2011,3,55,1,W
3636,2011043499,2011,3,50,1,W
3637,2011043500,2011,3,55,1,S
3638,2011043501,2011,3,55,1,N
3639,2011043501,2011,2,,1,N
3640,2011043502,2011,1,50,1,W
3641,2011043503,2011,4,55,1,N
3642,2011043504,2011,3,50,1,W
3643,2011043505,2011,4,55,1,N
3644,2011043506,2011,3,50,1,E
3645,2011043508,2011,3,55,1,S
3646,2011043509,2011,3,55,1,S
3647,2011043511,2011,3,50,1,E
3648,2011043512,2011,4,50,,W
3649,2011043513,2011,4,55,1,S
3650,2011043514,2011,2,50,1,W
3651,2011043515,2011,3,50,1,W
3652,2011043516,2011,3,50,1,W
3653,2011043656,2011,1,45,1,S
3654,2011043719,2011,2,35,3,N
3655,2011043797,2011,3,45,,E
3656,2011043933,2011,5,55,1,S
3657,2011043934,2011,5,55,1,N
3658,2011043935,2011,2,50,1,W
3659,2011043935,2011,1,,1,W
3660,2011043937,2011,4,55,1,N
3661,2011044058,2011,4,55,1,S
3662,2011044059,2011,3,50,1,W
3663,2011044060,2011,1,,1,S
3664,2011044230,2011,2,35,3,S
3665,2011044282,2011,3,55,1,S
3666,2011044431,2011,2,25,,W
3667,2011044431,2011,2,25,,N
3668,2011044433,2011,1,,,W
3669,2011044434,2011,3,25,3,N
3670,2011044435,2011,2,30,3,W
3671,2011044436,2011,2,25,,W
3672,2011044439,2011,2,,,S
3673,2011044440,2011,2,,,N
3674,2011044440,2011,2,,,E
3675,2011044441,2011,3,30,3,E
3676,2011044441,2011,3,25,3,W
3677,2011044441,2011,2,,,N
3678,2011044450,2011,1,,,W
3679,2011044450,2011,1,25,,N
3680,2011044451,2011,2,35,3,E
3681,2011044451,2011,2,,,S
3682,2011044452,2011,2,35,3,E
3683,2011044452,2011,2,35,3,W
3684,2011044452,2011,2,35,,S
3685,2011044453,2011,2,,,N
3686,2011044454,2011,1,35,,W
3687,2011044454,2011,1,35,,N
3688,2011044462,2011,2,25,3,E
3689,2011044463,2011,3,45,3,S
3690,2011044463,2011,2,,,W
3691,2011044464,2011,2,25,,N
3692,2011044465,2011,2,25,,W
3693,2011044466,2011,1,,,N
3694,2011044467,2011,2,35,,S
3695,2011044468,2011,2,35,3,N
3696,2011044468,2011,2,35,,E
3697,2011044478,2011,1,25,,N
3698,2011044479,2011,2,30,3,S
3699,2011044480,2011,4,30,3,N
3700,2011044481,2011,3,30,3,N
3701,2011044481,2011,2,,,N
3702,2011044481,2011,2,,,N
3703,2011044482,2011,2,30,3,E
3704,2011044482,2011,3,30,3,W
3705,2011044482,2011,2,25,,S
3706,2011044511,2011,2,,,N
3707,2011044512,2011,2,25,3,W
3708,2011044513,2011,2,25,3,W
3709,2011044514,2011,2,25,3,E
3710,2011044514,2011,2,,,S
3711,2011044516,2011,2,25,3,W
3712,2011044516,2011,2,30,,N
3713,2011044517,2011,2,,,E
3714,2011044517,2011,2,,,N
3715,2011044518,2011,3,35,3,S
3716,2011044518,2011,2,25,3,E
3717,2011044519,2011,1,,,W
3718,2011044519,2011,1,,,S
3719,2011044521,2011,2,,,W
3720,2011044521,2011,2,,,N
3721,2011044522,2011,2,35,3,N
3722,2011044522,2011,2,35,3,S
3723,2011044522,2011,2,35,,E
3724,2011044523,2011,2,25,3,S
3725,2011044523,2011,2,25,,E
3726,2011044524,2011,1,,,N
3727,2011044524,2011,1,,,E
